crash_numb,city_town_name,crash_date,crash_severity_descr,crash_status,crash_time_2,max_injr_svrty_cl,numb_vehc,numb_fatal_injr,numb_nonfatal_injr,weath_cond_descr,speed_limit,lat,lon,dist_dirc_exit,vehc_unit_numb,driver_age,max_injr_svrty_vl,total_occpt_in_vehc,pers_numb,age,injy_stat_descr
"4508791","BOSTON","02/08/2018","Non-fatal injury","Closed","11:35 PM","Non-fatal injury - Incapacitating","4","0","6","Clear","","42.30527741","-71.08474055","","2","43","Non-fatal injury - Incapacitating","3","2","43","Non-fatal injury - Incapacitating"
"4508791","BOSTON","02/08/2018","Non-fatal injury","Closed","11:35 PM","Non-fatal injury - Incapacitating","4","0","6","Clear","","42.30527741","-71.08474055","","2","43","Non-fatal injury - Incapacitating","3","3","26","Non-fatal injury - Possible"
"4508791","BOSTON","02/08/2018","Non-fatal injury","Closed","11:35 PM","Non-fatal injury - Incapacitating","4","0","6","Clear","","42.30527741","-71.08474055","","2","43","Non-fatal injury - Incapacitating","3","4","69","Non-fatal injury - Possible"
"4508791","BOSTON","02/08/2018","Non-fatal injury","Closed","11:35 PM","Non-fatal injury - Incapacitating","4","0","6","Clear","","42.30527741","-71.08474055","","3","54","Non-fatal injury - Incapacitating","1","5","54","Non-fatal injury - Incapacitating"
"4508791","BOSTON","02/08/2018","Non-fatal injury","Closed","11:35 PM","Non-fatal injury - Incapacitating","4","0","6","Clear","","42.30527741","-71.08474055","","4","35","Non-fatal injury - Possible","1","6","35","Non-fatal injury - Possible"
"4508792","BOSTON","02/10/2018","Non-fatal injury","Closed","1:13 AM","Non-fatal injury - Possible","2","0","1","Clear/Clear","","42.32533349","-71.07496301","","1","34","Non-fatal injury - Possible","1","1","34","Non-fatal injury - Possible"
"4508792","BOSTON","02/10/2018","Non-fatal injury","Closed","1:13 AM","Non-fatal injury - Possible","2","0","1","Clear/Clear","","42.32533349","-71.07496301","","2","38","Not reported","1","2","38","Not reported"
"4508793","BOSTON","01/31/2018","Unknown","Closed","10:11 PM","Not reported","3","0","0","Cloudy","25","42.32095623","-71.08024124","","1","32","Unknown","1","1","32","Unknown"
"4508793","BOSTON","01/31/2018","Unknown","Closed","10:11 PM","Not reported","3","0","0","Cloudy","25","42.32095623","-71.08024124","","2","","Not reported","0","2","","Not reported"
"4508793","BOSTON","01/31/2018","Unknown","Closed","10:11 PM","Not reported","3","0","0","Cloudy","25","42.32095623","-71.08024124","","3","","Not reported","0","3","","Not reported"
"4508798","BOSTON","02/04/2018","Property damage only (none injured)","Closed","3:04 AM","No injury","2","0","0","Clear","","42.34921807","-71.13003258","","1","28","No injury","1","1","28","No injury"
"4508798","BOSTON","02/04/2018","Property damage only (none injured)","Closed","3:04 AM","No injury","2","0","0","Clear","","42.34921807","-71.13003258","","2","","Not reported","0","2","","Not reported"
"4508799","BOSTON","01/30/2018","Non-fatal injury","Closed","8:30 AM","Non-fatal injury - Non-incapacitating","1","0","1","Snow/Snow","","42.32908474","-71.08974143","","1","34","Non-fatal injury - Non-incapacitating","2","1","34","Non-fatal injury - Non-incapacitating"
"4508801","BOSTON","01/21/2018","Property damage only (none injured)","Closed","7:00 PM","No injury","2","0","0","Clear","","42.33445229","-71.10667589","","1","47","No injury","2","1","47","No injury"
"4508801","BOSTON","01/21/2018","Property damage only (none injured)","Closed","7:00 PM","No injury","2","0","0","Clear","","42.33445229","-71.10667589","","1","47","No injury","2","2","54","No injury"
"4508801","BOSTON","01/21/2018","Property damage only (none injured)","Closed","7:00 PM","No injury","2","0","0","Clear","","42.33445229","-71.10667589","","2","21","No injury","1","3","21","No injury"
"4508802","BOSTON","01/17/2018","Not Reported","Closed","4:00 PM","Not reported","2","0","0","Snow/Rain","25","42.33368329","-71.09346691","","1","42","Not reported","1","1","42","Not reported"
"4508802","BOSTON","01/17/2018","Not Reported","Closed","4:00 PM","Not reported","2","0","0","Snow/Rain","25","42.33368329","-71.09346691","","2","42","Not reported","1","2","42","Not reported"
